fund_name,company_id,company_name,nav_date,company_valuation,fund_nav,total_company_valuation,scale_pct,company_nav
Palisade Ridge Capital,716,Nexora Energy Solutions,2021-06-30,110000000,9800000,980000000,0.01,1100000
Palisade Ridge Capital,916,Zephiron Biopharma,2021-06-30,210000000,9800000,980000000,0.01,2100000
Palisade Ridge Capital,1198,Velcoris Data Systems,2021-06-30,320000000,9800000,980000000,0.01,3200000
Palisade Ridge Capital,2563,Evermark Industries,2021-06-30,70000000,9800000,980000000,0.01,700000
Palisade Ridge Capital,4925,Brightridge Technologies,2021-06-30,170000000,9800000,980000000,0.01,1700000
Palisade Ridge Capital,1,Other Assets,2021-09-30,105000000,11000000,1100000000,0.01,1050000
Palisade Ridge Capital,435,Triton Forge Manufacturing,2021-09-30,80000000,11000000,1100000000,0.01,800000
Palisade Ridge Capital,716,Nexora Energy Solutions,2021-09-30,110000000,11000000,1100000000,0.01,1100000
Palisade Ridge Capital,916,Zephiron Biopharma,2021-09-30,220000000,11000000,1100000000,0.01,2200000
Palisade Ridge Capital,1198,Velcoris Data Systems,2021-09-30,320000000,11000000,1100000000,0.01,3200000
Palisade Ridge Capital,2563,Evermark Industries,2021-09-30,90000000,11000000,1100000000,0.01,900000
Palisade Ridge Capital,4925,Brightridge Technologies,2021-09-30,175000000,11000000,1100000000,0.01,1750000
Palisade Ridge Capital,1,Other Assets,2021-12-31,105000000,12000000,1200000000,0.01,1050000
Palisade Ridge Capital,435,Triton Forge Manufacturing,2021-12-31,120000000,12000000,1200000000,0.01,1200000
Palisade Ridge Capital,716,Nexora Energy Solutions,2021-12-31,110000000,12000000,1200000000,0.01,1100000
Palisade Ridge Capital,916,Zephiron Biopharma,2021-12-31,220000000,12000000,1200000000,0.01,2200000
Palisade Ridge Capital,1198,Velcoris Data Systems,2021-12-31,380000000,12000000,1200000000,0.01,3800000
Palisade Ridge Capital,2563,Evermark Industries,2021-12-31,90000000,12000000,1200000000,0.01,900000
Palisade Ridge Capital,4925,Brightridge Technologies,2021-12-31,175000000,12000000,1200000000,0.01,1750000
Summitvale Equity Group,1,Other Assets,2020-12-31,5000000,10000000,192000000,0.052083333,260416.665
Summitvale Equity Group,916,Zephiron Biopharma,2020-12-31,155000000,10000000,192000000,0.052083333,8072916.615
Summitvale Equity Group,1234,Axentis Financial,2020-12-31,15000000,10000000,192000000,0.052083333,781249.995
Summitvale Equity Group,4584,Stellarion Robotics,2020-12-31,17000000,10000000,192000000,0.052083333,885416.661
Summitvale Equity Group,1,Other Assets,2021-03-31,5000000,11000000,224000000,0.049107143,245535.715
Summitvale Equity Group,916,Zephiron Biopharma,2021-03-31,180000000,11000000,224000000,0.049107143,8839285.74
Summitvale Equity Group,1234,Axentis Financial,2021-03-31,19000000,11000000,224000000,0.049107143,933035.717
Summitvale Equity Group,4584,Stellarion Robotics,2021-03-31,20000000,11000000,224000000,0.049107143,982142.86
Summitvale Equity Group,1,Other Assets,2021-06-30,5000000,12000000,240000000,0.05,250000
Summitvale Equity Group,916,Zephiron Biopharma,2021-06-30,185000000,12000000,240000000,0.05,9250000
Summitvale Equity Group,1234,Axentis Financial,2021-06-30,20000000,12000000,240000000,0.05,1000000
Summitvale Equity Group,4584,Stellarion Robotics,2021-06-30,30000000,12000000,240000000,0.05,1500000
Summitvale Equity Group,1,Other Assets,2021-09-30,5000000,12000000,240000000,0.05,250000
Summitvale Equity Group,916,Zephiron Biopharma,2021-09-30,190000000,12000000,240000000,0.05,9500000
Summitvale Equity Group,1234,Axentis Financial,2021-09-30,20000000,12000000,240000000,0.05,1000000
Summitvale Equity Group,4584,Stellarion Robotics,2021-09-30,25000000,12000000,240000000,0.05,1250000
Summitvale Equity Group,1,Other Assets,2021-12-31,5000000,13000000,260000000,0.05,250000
Summitvale Equity Group,916,Zephiron Biopharma,2021-12-31,200000000,13000000,260000000,0.05,10000000
Summitvale Equity Group,1234,Axentis Financial,2021-12-31,25000000,13000000,260000000,0.05,1250000
Summitvale Equity Group,4584,Stellarion Robotics,2021-12-31,30000000,13000000,260000000,0.05,1500000
