fund_name,company_name,nav_date,company_valuation,ownership_pct,company_nav
Summitvale Equity Group,Stellarion Robotics,2020-12-31,17000000,0.05,850000
Summitvale Equity Group,Zephiron Biopharma,2020-12-31,155000000,0.05,7750000
Summitvale Equity Group,Axentis Financial,2021-03-31,19000000,0.05,950000
Summitvale Equity Group,Other Assets,2021-03-31,5000000,0.05,250000
Summitvale Equity Group,Stellarion Robotics,2021-03-31,20000000,0.05,1000000
Summitvale Equity Group,Zephiron Biopharma,2021-03-31,180000000,0.05,9000000
Summitvale Equity Group,Axentis Financial,2021-06-30,20000000,0.05,1000000
Summitvale Equity Group,Other Assets,2021-06-30,5000000,0.05,250000
Summitvale Equity Group,Stellarion Robotics,2021-06-30,30000000,0.05,1500000
Summitvale Equity Group,Zephiron Biopharma,2021-06-30,185000000,0.05,9250000
Summitvale Equity Group,Axentis Financial,2021-07-01,20000000,0.05,1000000
Summitvale Equity Group,Other Assets,2021-07-01,5000000,0.05,250000
Summitvale Equity Group,Stellarion Robotics,2021-07-01,30000000,0.05,1500000
Summitvale Equity Group,Zephiron Biopharma,2021-07-01,185000000,0.05,9250000
Summitvale Equity Group,Axentis Financial,2021-09-30,20000000,0.05,1000000
Summitvale Equity Group,Other Assets,2021-09-30,5000000,0.05,250000
Summitvale Equity Group,Stellarion Robotics,2021-09-30,25000000,0.05,1250000
Summitvale Equity Group,Zephiron Biopharma,2021-09-30,190000000,0.05,9500000
Summitvale Equity Group,Axentis Financial,2021-12-31,25000000,0.05,1250000
Summitvale Equity Group,Other Assets,2021-12-31,5000000,0.05,250000
Summitvale Equity Group,Stellarion Robotics,2021-12-31,30000000,0.05,1500000
Summitvale Equity Group,Zephiron Biopharma,2021-12-31,200000000,0.05,10000000
